exp_ids,maleid,tactic,femaleid,mated
3,M101,baffling,F26,0
3,M79,call,F26,0
4,M102,baffling,F27,1
4,M84,call,F27,0
5,M144,baffling,F28,1
5,M64,call,F28,0
7,M32,baffling,F29,1
7,M68,call,F29,0
9,M120,baffling,F24,1
9,M36,call,F24,0
15,M44,baffling,F30,1
15,M135,call,F30,0
16,M52,baffling,F35,1
16,M90,call,F35,0
17,M69,baffling,F32,0
17,M121,call,F32,0
18,M45,baffling,F22,0
18,M132,call,F22,0
19,M54,baffling,F25,1
19,M126,call,F25,0
20,M138,baffling,F38,1
20,M147,call,F38,0
21,M149,baffling,F45,1
21,M135,call,F45,0
22,M145,baffling,F46,0
22,M137,call,F46,0
23,M205,baffling,F46,1
23,M176,call,F46,0
25,M172,baffling,F49,0
25,M163,call,F49,0
27,M173,baffling,F50,1
27,M198,call,F50,0
28,M174,baffling,F51,0
28,M192,call,F51,0
30,M187,baffling,F56,1
30,M167,call,F56,0
31,M159,baffling,F59,1
31,M194,call,F59,0
32,M204,baffling,F60,0
32,M196,call,F60,0
33,M218,baffling,F42,1
33,M254,call,F42,0
34,M237,baffling,F31,1
34,M255,call,F31,0
35,M209,baffling,F33,1
35,M247,call,F33,0
36,M165,baffling,F34,1
36,M188,call,F34,0
37,M227,baffling,F37,1
37,M204,call,F37,0
38,M281,baffling,F80,1
38,M288,call,F80,0
