exp_ids,treatment,plant_id(males),plant_id(female),femaleid,maleid,tactic,mated,number_of_scans_called,male_spl(dB),spl_at_female_location(dB),d.o.e(female),female_flew_off_arena,d.o.e(male),d.o.exp,male_age(days),female_age(days),"mode_of_interbush_movement_female_(w,f,NaN)",Mean_body_length_female(mm),Mean_body_length_male(mm),Mating_latency(min),Duration_of _trial_(min)
13_4_22_1,single_male,Plant_05,Plant_06,F301,M302,call,0,12,62.7,NaN,14-03-2022,1,17-03-2022,13-04-2022,27,30,NaN,11.626,12.383,NaN,12
13_4_22_2,single_male,Plant_05,Plant_06,F302,M304,call,1,12,59.7,NaN,19-03-2022,0,22-03-2022,13-04-2022,22,25,NaN,11.331,11.694,30,30
14_4_22_2,single_male,Plant_05,Plant_06,F304,M308,call,0,45,59,51.5,25-03-2022,0,28-03-2022,14-04-2022,17,20,NaN,10.605,10.748,NaN,45
14_4_22_3,single_male,Plant_05,Plant_06,F305,M310,call,1,14,60.1,NaN,25-03-2022,0,28-03-2022,14-04-2022,17,20,NaN,9.997,10.712,26,26
17_4_22_1,single_male,Plant_05,Plant_06,F309,M318,call,0,31,59.7,46.5,28-03-2022,0,06-04-2022,17-04-2022,11,20,NaN,9.973,NaN,NaN,45
17_4_22_2,single_male,Plant_05,Plant_06,F310,M314,call,1,20,61.8,52,28-03-2022,0,31-03-2022,17-04-2022,17,20,f,10.35,11.218,22,22
17_4_22_3,single_male,Plant_05,Plant_06,F312,M315,call,0,33,63.1,59.6,29-03-2022,0,02-04-2022,17-04-2022,15,19,NaN,9.57,11.088,NaN,45
18_4_22_1,single_male,Plant_05,Plant_06,F313,M321,call,0,19,NaN,50.7,30-03-2022,1,08-04-2022,18-04-2022,10,19,NaN,10.126,10.211,NaN,19
19_4_22_1,single_male,Plant_05,Plant_06,F316,M331,call,0,37,52.4,44.7,31-03-2022,0,13-04-2022,19-04-2022,6,19,NaN,11.027,NaN,NaN,45
20_4_22_2,single_male,Plant_05,Plant_06,F320,M328,call,0,7,56.6,40.5,04-04-2022,1,11-04-2022,20-04-2022,9,16,NaN,NaN,9.726,NaN,39
24_4_22_1,single_male,Plant_05,Plant_06,F328,M341,call,1,14,57,50.2,07-04-2022,0,17-04-2022,24-04-2022,7,17,f,10.791,9.068,16,16
24_4_22_2,single_male,Plant_05,Plant_06,F329,M339,call,1,3,60.7,51.3,07-04-2022,0,15-04-2022,24-04-2022,9,17,f,11.271,10.186,8,8
25_4_22_1,single_male,Plant_05,Plant_06,F331,M345,call,1,6,57.5,48.6,08-04-2022,0,18-04-2022,25-04-2022,7,17,NaN,8.247,9.757,8,8
25_4_22_3,single_male,Plant_05,Plant_06,F333,M346,call,1,13,60.5,53.9,08-04-2022,0,18-04-2022,25-04-2022,7,17,f,10.619,11.479,14,14
26_4_22_1,single_male,Plant_05,Plant_06,F336,M348,call,0,3,59.1,55.7,10-04-2022,1,18-04-2022,26-04-2022,8,16,NaN,8.43,8.729,NaN,3
27_4_22_4,single_male,Plant_05,Plant_07,F338,M354,call,1,5,58.3,52,10-04-2022,0,20-04-2022,27-04-2022,7,17,f,9.15,7.719,7,7
29_4_22_2,single_male,Plant_05,Plant_07,F339,M358,call,0,45,45,61.3,10-04-2022,0,20-04-2022,29-04-2022,0,19,NaN,9.024,10.343,NaN,45
2_5_22_1,single_male,Plant_08,Plant_07,F351,M363,call,0,8,63.7,48.7,14-04-2022,1,24-04-2022,02-05-2022,8,18,NaN,NaN,10.759,NaN,10
2_5_22_2,single_male,Plant_08,Plant_07,F352,M366,call,0,7,59.4,56.8,14-04-2022,1,24-04-2022,02-05-2022,8,18,NaN,10.658,8.973,NaN,8
5_5_22_2,single_male,Plant_08,Plant_07,F356,M375,call,1,7,60.2,47.2,15-04-2022,0,26-04-2022,05-05-2022,9,20,f,9.193,8.812,9,9
5_5_22_3,single_male,Plant_08,Plant_07,F357,M373,call,0,4,59,54.7,15-04-2022,1,26-04-2022,05-05-2022,9,20,NaN,8.999,10.026,NaN,4
6_5_22_2,single_male,Plant_08,Plant_07,F361,M384,call,1,6,58,NaN,15-04-2022,0,28-04-2022,06-05-2022,8,21,w,9.828,8.677,8,8
8_5_22_1,single_male,Plant_08,Plant_07,F358,M386,call,0,40,59.9,50.9,15-04-2022,0,29-04-2022,08-05-2022,9,23,f,9.605,9.307,NaN,45
9_5_22_2,single_male,Plant_08,Plant_07,F366,M382,call,1,10,62.5,53,17-04-2022,0,27-04-2022,09-05-2022,12,22,f,9.332,9.993,20,20
10_5_22_4,single_male,Plant_08,Plant_07,F371,M393,call,1,5,62.4,50.4,17-04-2022,0,29-04-2022,10-05-2022,11,23,f,9.963,10.904,6,6
11_5_22_2,single_male,Plant_08,Plant_07,F372,M399,call,0,29,57.8,44.6,17-04-2022,0,02-05-2022,11-05-2022,9,24,w,10.868,11.192,NaN,45
11_5_22_3,single_male,Plant_08,Plant_07,F374,M401,call,0,19,58,47.6,17-04-2022,0,02-05-2022,11-05-2022,9,24,NaN,11.133,10.892,NaN,45
12_5_22_2,single_male,Plant_08,Plant_07,F376,M404,call,0,12,58.6,NaN,17-04-2022,0,02-05-2022,12-05-2022,10,25,w,10.124,10.176,NaN,45
13_5_22_1,single_male,Plant_08,Plant_07,F379,M408,call,1,6,59,48.2,17-04-2022,0,02-05-2022,13-05-2022,11,26,w,9.804,9.542,38,38
