exp_ids,treatment,plant_id(males),plant_id(female),femaleid,maleid,tactic,mated,number_of_scans_called,male_spl(dB),spl_at_female_location(dB),d.o.e(female),female_flew_off_arena,d.o.e(male),d.o.exp,male_age(days),female_age(days),"mode_of_interbush_movement_female_(w,f,NaN)",Mean_body_length_female(mm),Mean_body_length_male(mm),Mating_latency(min),Duration_of _trial_(min)
14_4_22_1,two_males,Plant_05,Plant_06,F303,M306,silent,0,0,0,0,24-03-2022,1,23-03-2022,14-04-2022,22,21,NaN,11.108,11.943,NaN,26
14_4_22_1,two_males,Plant_05,Plant_06,F303,M307,call,0,12,NaN,NaN,24-03-2022,1,25-03-2022,14-04-2022,20,21,NaN,11.108,10.748,NaN,26
15_4_22_1,two_males,Plant_05,Plant_06,F306,M309,silent,0,0,0,0,25-03-2022,0,28-03-2022,15-04-2022,18,21,NaN,11.585,10.466,NaN,45
15_4_22_1,two_males,Plant_05,Plant_06,F306,M311,call,0,40,NaN,NaN,25-03-2022,0,28-03-2022,15-04-2022,18,21,NaN,11.585,9.953,NaN,45
15_4_22_2,two_males,Plant_05,Plant_06,F307,M312,call,0,37,61.3,49,26-03-2022,0,29-03-2022,15-04-2022,17,20,NaN,10.479,11.371,NaN,45
15_4_22_2,two_males,Plant_05,Plant_06,F307,M313,silent,0,0,0,0,26-03-2022,0,30-03-2022,15-04-2022,16,20,NaN,10.479,10.444,NaN,45
15_4_22_3,two_males,Plant_05,Plant_06,F308,M316,call,0,16,60.7,44.8,26-03-2022,1,04-04-2022,15-04-2022,11,20,NaN,NaN,10.574,NaN,16
15_4_22_3,two_males,Plant_05,Plant_06,F308,M317,silent,0,0,0,0,26-03-2022,1,04-04-2022,15-04-2022,11,20,NaN,NaN,10.249,NaN,16
18_4_22_2,two_males,Plant_05,Plant_06,F314,M320,silent,0,0,0,0,30-03-2022,1,07-04-2022,18-04-2022,11,19,NaN,NaN,10.888,NaN,28
18_4_22_2,two_males,Plant_05,Plant_06,F314,M322,call,0,9,55.4,48.4,30-03-2022,1,08-04-2022,18-04-2022,10,19,NaN,NaN,11.424,NaN,28
20_4_22_2,two_males,Plant_05,Plant_06,F326,M337,call,0,4,NaN,NaN,06-04-2022,1,14-04-2022,20-04-2022,6,14,NaN,10.778,12.497,NaN,4
20_4_22_2,two_males,Plant_05,Plant_06,F326,M336,silent,0,0,0,0,06-04-2022,1,15-04-2022,20-04-2022,5,14,NaN,10.778,10.775,NaN,4
