exp_ids,maleid,tactic,FemaleID,mated,treatment,experiment
1_11_21_3,M196,call,F172,0,two_males_caller,within
1_11_21_3,M200,silent,F172,0,two_males_caller,within
1_4_21_1,M050,call,F021,1,two_males_caller,within
1_4_21_1,M052,silent,F021,0,two_males_caller,within
1_5_21_1,M097,call,F061,0,two_males_caller,within
1_5_21_1,M099,silent,F061,1,two_males_caller,within
11_11_21_1,M248,call,F190,1,two_males_caller,within
11_11_21_1,M244,silent,F190,0,two_males_caller,within
11_5_21_1,M106,call,F067,1,two_males_caller,within
11_5_21_1,M103,silent,F067,0,two_males_caller,within
12_11_21_1,M226,call,F191,1,two_males_caller,within
12_11_21_1,M229,silent,F191,0,two_males_caller,within
15_4_21_1,M063,call,F040,0,two_males_caller,within
15_4_21_1,M068,silent,F040,1,two_males_caller,within
15_5_21_1,M108,call,F073,0,two_males_caller,within
15_5_21_1,M107,silent,F073,1,two_males_caller,within
16_4_21_1,M072,call,F042,1,two_males_caller,within
16_4_21_1,M067,silent,F042,0,two_males_caller,within
16_4_21_2,M070,call,F043,0,two_males_caller,within
16_4_21_2,M071,silent,F043,1,two_males_caller,within
17_3_21_1,M020,call,F013,1,two_males_caller,within
17_3_21_1,M019,silent,F013,0,two_males_caller,within
17_4_21_1,M067,call,F044,1,two_males_caller,within
17_4_21_1,M070,silent,F044,0,two_males_caller,within
19_3_21_2,M017,call,F017,1,two_males_caller,within
19_3_21_2,M021,silent,F017,0,two_males_caller,within
19_3_21_3,M026,call,F014,1,two_males_caller,within
19_3_21_3,M028,silent,F014,0,two_males_caller,within
19_4_21_1,M070,call,F045,0,two_males_caller,within
19_4_21_1,M074,silent,F045,1,two_males_caller,within
19_4_21_3,M079,call,F048,0,two_males_caller,within
19_4_21_3,M080,silent,F048,1,two_males_caller,within
2_11_21_1,M226,call,F154,0,two_males_caller,within
2_11_21_1,M182,silent,F154,0,two_males_caller,within
2_11_21_2,M225,call,F171,0,two_males_caller,within
2_11_21_2,M185,silent,F171,1,two_males_caller,within
2_11_21_3,M219,call,F176,0,two_males_caller,within
2_11_21_3,M181,silent,F176,0,two_males_caller,within
20_3_21_1,M023,call,F019,1,two_males_caller,within
20_3_21_1,M025,silent,F019,0,two_males_caller,within
26_10_21_1,M212,call,F152,0,two_males_caller,within
26_10_21_1,M171,silent,F152,1,two_males_caller,within
26_10_21_2,M169,call,F150,1,two_males_caller,within
26_10_21_2,M213,silent,F150,0,two_males_caller,within
27_4_21_2,M091,call,F055,0,two_males_caller,within
27_4_21_2,M092,silent,F055,1,two_males_caller,within
29_10_21_3,M208,call,F166,1,two_males_caller,within
29_10_21_3,M209,silent,F166,0,two_males_caller,within
3_11_21_1,M191,call,F142,0,two_males_caller,within
3_11_21_1,M209,silent,F142,0,two_males_caller,within
3_11_21_2,M190,call,F145,0,two_males_caller,within
3_11_21_2,M207,silent,F145,0,two_males_caller,within
30_10_21_1,M182,call,F170,0,two_males_caller,within
30_10_21_1,M205,silent,F170,1,two_males_caller,within
30_10_21_3,M204,call,F168,0,two_males_caller,within
30_10_21_3,M206,silent,F168,1,two_males_caller,within
30_4_21_1,M097,call,F058,0,two_males_caller,within
30_4_21_1,M094,silent,F058,1,two_males_caller,within
30_4_21_2,M095,call,F060,0,two_males_caller,within
30_4_21_2,M096,silent,F060,1,two_males_caller,within
5_11_21_1,M198,call,F178,1,two_males_caller,within
5_11_21_1,M189,silent,F178,0,two_males_caller,within
5_11_21_2,M196,call,F163,1,two_males_caller,within
5_11_21_2,M195,silent,F163,0,two_males_caller,within
5_4_21_1,M055,call,F026,1,two_males_caller,within
5_4_21_1,M040,silent,F026,0,two_males_caller,within
5_4_21_3,M043,call,F033,0,two_males_caller,within
5_4_21_3,M049,silent,F033,1,two_males_caller,within
7_11_21_1,M213,call,F182,1,two_males_caller,within
7_11_21_1,M204,silent,F182,0,two_males_caller,within
7_11_21_2,M237,call,F183,0,two_males_caller,within
7_11_21_2,M210,silent,F183,0,two_males_caller,within
9_11_21_1,M225,call,F185,0,two_males_caller,within
9_11_21_1,M236,silent,F185,0,two_males_caller,within
9_5_21_1,M101,call,F065,0,two_males_caller,within
9_5_21_1,M105,silent,F065,1,two_males_caller,within
18_3_21_2,M023,call,F010,0,single_male,within
18_3_21_3,M024,call,F007,1,single_male,within
19_3_21_4,M025,call,F019,0,single_male,within
20_3_21_3,M019,call,F015,1,single_male,within
20_3_21_4,M021,call,F010,1,single_male,within
22_3_21_2,M034,call,F018,1,single_male,within
22_3_21_3,M033,call,F022,0,single_male,within
23_3_21_1,M035,call,F023,0,single_male,within
23_3_21_2,M030,call,F022,0,single_male,within
24_3_21_2,M035,call,F020,1,single_male,within
24_3_21_3,M033,call,F023,1,single_male,within
29_3_21_1,M041,call,F025,1,single_male,within
30_3_21_1,M040,call,F030,0,single_male,within
31_3_21_1,M043,call,F030,0,single_male,within
31_3_21_2,M047,call,F027,1,single_male,within
1_4_21_2,M051,call,F024,1,single_male,within
2_4_21_1,M054,call,F026,0,single_male,within
5_4_21_2,M042,call,F030,1,single_male,within
7_4_21_1,M060,call,F034,1,single_male,within
8_4_21_2,M058,call,F037,1,single_male,within
11_4_21_3,M052,call,F038,1,single_male,within
20_4_21_1,M079,call,F049,1,single_male,within
29_4_21_1,M095,call,F059,0,single_male,within
2_5_21_1,M097,call,F063,1,single_male,within
22_10_21_1,M179,call,F137,0,single_male,within
22_10_21_2,M176,call,F138,1,single_male,within
22_10_21_3,M189,call,F142,0,single_male,within
24_10_21_1,M177,call,F140,1,single_male,within
24_10_21_2,M184,call,F144,0,single_male,within
24_10_21_3,M192,call,F145,0,single_male,within
25_10_21_1,M219,call,F146,0,single_male,within
26_10_21_3,M173,call,F149,1,single_male,within
26_10_21_4,M215,call,F151,0,single_male,within
27_10_21_1,M221,call,F153,0,single_male,within
28_10_21_1,M181,call,F156,0,single_male,within
28_10_21_2,M184,call,F157,1,single_male,within
28_10_21_3,M185,call,F159,0,single_male,within
28_10_21_4,M180,call,F158,0,single_male,within
30_10_21_2,M203,call,F169,1,single_male,within
30_10_21_4,M202,call,F167,0,single_male,within
1_11_21_2,M194,call,F173,1,single_male,within
2_11_21_4,M180,call,F177,0,single_male,within
7_11_21_3,M192,call,F184,0,single_male,within
9_11_21_2,M239,call,F186,0,single_male,within
11_11_21_2,M238,call,F188,1,single_male,within
11_11_21_3,M247,call,F189,1,single_male,within
15_3_21_1,M001,silent,F011,1,single_male,within
15_3_21_2,M007,silent,F012,1,single_male,within
18_3_21_1,M022,silent,F009,1,single_male,within
24_3_21_1,M030,silent,F021,0,single_male,within
30_3_21_3,M039,silent,F031,1,single_male,within
7_4_21_2,M040,silent,F035,1,single_male,within
