exp_ids,maleid,tactic,FemaleID,mated,treatment
1,DM172,baffling,F52,1,two_males_baffler
1,DM179,silent,F52,0,two_males_baffler
2,DM199,baffling,F53,1,two_males_baffler
2,DM181,silent,F53,0,two_males_baffler
3,DM190,baffling,F47,0,two_males_baffler
3,DM203,silent,F47,1,two_males_baffler
4,DM189,baffling,F58,0,two_males_baffler
4,DM180,silent,F58,0,two_males_baffler
5,DM159,baffling,F54,0,two_males_baffler
5,DM194,silent,F54,0,two_males_baffler
6,DM204,baffling,F48,0,two_males_baffler
6,DM197,silent,F48,1,two_males_baffler
7,DM211,baffling,F43,1,two_males_baffler
7,DM200,silent,F43,0,two_males_baffler
8,DM209,baffling,F41,1,two_males_baffler
8,DM213,silent,F41,0,two_males_baffler
10,DM164,baffling,F39,1,two_males_baffler
10,DM215,silent,F39,0,two_males_baffler
11,DM225,baffling,F30,0,two_males_baffler
11,DM220,silent,F30,1,two_males_baffler
12,DM227,baffling,F37,0,two_males_baffler
12,DM255,silent,F37,0,two_males_baffler
13,DM242,baffling,F61,1,two_males_baffler
13,DM217,silent,F61,0,two_males_baffler
14,DM233,baffling,F38,1,two_males_baffler
14,DM243,silent,F38,0,two_males_baffler
15,DM162,baffling,F36,1,two_males_baffler
15,DM166,silent,F36,0,two_males_baffler
16,DM207,baffling,F34,1,two_males_baffler
16,DM208,silent,F34,0,two_males_baffler
17,DM240,baffling,F26,0,two_males_baffler
17,DM182,silent,F26,0,two_males_baffler
18,DM247,baffling,F63,0,two_males_baffler
18,DM248,silent,F63,1,two_males_baffler
21,DM238,baffling,F44,0,two_males_baffler
21,DM186,silent,F44,1,two_males_baffler
22,DM245,baffling,F64,0,two_males_baffler
22,DM193,silent,F64,1,two_males_baffler
23,DM229,baffling,F68,0,two_males_baffler
23,DM191,silent,F68,0,two_males_baffler
24,DM212,baffling,F66,0,two_males_baffler
24,DM202,silent,F66,1,two_males_baffler
25,DM210,baffling,F65,0,two_males_baffler
25,DM214,silent,F65,1,two_males_baffler
27,DM222,baffling,F69,1,two_males_baffler
27,DM249,silent,F69,0,two_males_baffler
28,DM253,baffling,F71,0,two_males_baffler
28,DM252,silent,F71,1,two_males_baffler
29,DM232,baffling,F72,1,two_males_baffler
29,DM241,silent,F72,0,two_males_baffler
30,DM258,baffling,F73,0,two_males_baffler
30,DM228,silent,F73,1,two_males_baffler
31,DM295,baffling,F74,0,two_males_baffler
31,DM226,silent,F74,0,two_males_baffler
32,DM280,baffling,F55,0,two_males_baffler
32,DM265,silent,F55,1,two_males_baffler
33,DM244,baffling,F76,1,two_males_baffler
33,DM221,silent,F76,0,two_males_baffler
34,DM269,baffling,F77,1,two_males_baffler
34,DM250,silent,F77,0,two_males_baffler
35,DM270,baffling,F78,0,two_males_baffler
35,DM235,silent,F78,1,two_males_baffler
36,DM224,baffling,F79,1,two_males_baffler
36,DM259,silent,F79,0,two_males_baffler
1_11_21_3,M196,call,F172,0,two_males_caller
1_11_21_3,M200,silent,F172,0,two_males_caller
1_4_21_1,M050,call,F021,1,two_males_caller
1_4_21_1,M052,silent,F021,0,two_males_caller
1_5_21_1,M097,call,F061,0,two_males_caller
1_5_21_1,M099,silent,F061,1,two_males_caller
11_11_21_1,M248,call,F190,1,two_males_caller
11_11_21_1,M244,silent,F190,0,two_males_caller
12_11_21_1,M226,call,F191,1,two_males_caller
12_11_21_1,M229,silent,F191,0,two_males_caller
15_4_21_1,M063,call,F040,0,two_males_caller
15_4_21_1,M068,silent,F040,1,two_males_caller
16_4_21_1,M072,call,F042,1,two_males_caller
16_4_21_1,M067,silent,F042,0,two_males_caller
16_4_21_2,M070,call,F043,0,two_males_caller
16_4_21_2,M071,silent,F043,1,two_males_caller
17_3_21_1,M020,call,F013,1,two_males_caller
17_3_21_1,M019,silent,F013,0,two_males_caller
19_3_21_2,M017,call,F017,1,two_males_caller
19_3_21_2,M021,silent,F017,0,two_males_caller
19_3_21_3,M026,call,F014,1,two_males_caller
19_3_21_3,M028,silent,F014,0,two_males_caller
19_4_21_3,M079,call,F048,0,two_males_caller
19_4_21_3,M080,silent,F048,1,two_males_caller
26_10_21_1,M212,call,F152,0,two_males_caller
26_10_21_1,M171,silent,F152,1,two_males_caller
26_10_21_2,M169,call,F150,1,two_males_caller
26_10_21_2,M213,silent,F150,0,two_males_caller
27_4_21_2,M091,call,F055,0,two_males_caller
27_4_21_2,M092,silent,F055,1,two_males_caller
29_10_21_3,M093,call,F166,1,two_males_caller
29_10_21_3,M094,silent,F166,0,two_males_caller
3_11_21_1,M095,call,F142,0,two_males_caller
3_11_21_1,M096,silent,F142,0,two_males_caller
3_11_21_2,M097,call,F145,0,two_males_caller
3_11_21_2,M098,silent,F145,0,two_males_caller
30_10_21_1,M099,call,F170,0,two_males_caller
30_10_21_1,M100,silent,F170,1,two_males_caller
30_10_21_3,M101,call,F168,0,two_males_caller
30_10_21_3,M102,silent,F168,1,two_males_caller
7_11_21_2,M103,call,F183,0,two_males_caller
7_11_21_2,M104,silent,F183,0,two_males_caller
9_11_21_1,M105,call,F185,0,two_males_caller
9_11_21_1,M106,silent,F185,0,two_males_caller
9_5_21_1,M107,call,F065,0,two_males_caller
9_5_21_1,M108,silent,F065,1,two_males_caller
18_3_21_2,M109,call,F010,0,single_male
18_3_21_3,M110,call,F007,1,single_male
19_3_21_4,M111,call,F019,0,single_male
22_3_21_2,M112,call,F018,1,single_male
22_3_21_3,M113,call,F022,0,single_male
23_3_21_1,M114,call,F023,0,single_male
23_3_21_2,M115,call,F022,0,single_male
29_3_21_1,M116,call,F025,1,single_male
30_3_21_1,M117,call,F030,0,single_male
31_3_21_1,M118,call,F030,0,single_male
31_3_21_2,M119,call,F027,1,single_male
1_4_21_2,M120,call,F024,1,single_male
2_4_21_1,M121,call,F026,0,single_male
5_4_21_2,M122,call,F030,1,single_male
7_4_21_1,M123,call,F034,1,single_male
8_4_21_2,M124,call,F037,1,single_male
29_4_21_1,M125,call,F059,0,single_male
22_10_21_1,M126,call,F137,0,single_male
22_10_21_2,M127,call,F138,1,single_male
22_10_21_3,M128,call,F142,0,single_male
24_10_21_1,M129,call,F140,1,single_male
24_10_21_2,M130,call,F144,0,single_male
24_10_21_3,M131,call,F145,0,single_male
25_10_21_1,M132,call,F146,0,single_male
26_10_21_3,M133,call,F149,1,single_male
26_10_21_4,M134,call,F151,0,single_male
27_10_21_1,M135,call,F153,0,single_male
28_10_21_1,M136,call,F156,0,single_male
28_10_21_3,M137,call,F159,0,single_male
28_10_21_4,M138,call,F158,0,single_male
30_10_21_2,M139,call,F169,1,single_male
30_10_21_4,M140,call,F167,0,single_male
1_11_21_2,M141,call,F173,1,single_male
9_11_21_2,M142,call,F186,0,single_male
11_11_21_2,M143,call,F188,1,single_male
11_11_21_3,M144,call,F189,1,single_male
15_3_21_1,M145,silent,F011,1,single_male
15_3_21_2,M146,silent,F012,1,single_male
18_3_21_1,M147,silent,F009,1,single_male
30_3_21_3,M148,silent,F031,1,single_male
13_4_21_2,M149,silent,F039,0,single_male
15_4_21_2,M150,silent,F041,1,single_male
17_4_21_2,M151,silent,F045,0,single_male
19_4_21_2,M152,silent,F050,0,single_male
19_4_21_4,M153,silent,F052,1,single_male
20_4_21_3,M154,silent,F051,0,single_male
24_4_21_1,M155,silent,F050,1,single_male
24_4_21_2,M156,silent,F051,0,single_male
29_4_21_2,M157,silent,F057,0,single_male
8_5_21_1,M158,silent,F064,0,single_male
9_5_21_2,M159,silent,F066,0,single_male
14_5_21_1,M160,silent,F071,0,single_male
25_10_21_2,M161,silent,F147,0,single_male
27_10_21_2,M162,silent,F154,0,single_male
27_10_21_3,M163,silent,F155,0,single_male
29_10_21_1,M164,silent,F160,0,single_male
29_10_21_2,M165,silent,F162,0,single_male
1_11_21_1,M166,silent,F174,1,single_male
3_11_21_3,M167,silent,F146,0,single_male
5_11_21_3,M168,silent,F180,0,single_male
9_11_21_3,M169,silent,F187,0,single_male
