exp_ids,treatment,plant_id,maleid,tactic,female_mating_status,mated,call_number,call_effort,times,mating_latency,male_movement_steps,male_distance,male_vel,femaleid,female_movement_steps,female_distance,female_vel,initial_dist_to_female,initial_dist_to_male,final_dist_to_male
1_11_21_3,two_males,Plant_04,M196,call,virgin,0,1,0.2,5,NA,0,0,0,F172,2,4,0.8,2.236067977,1,0
1_11_21_3,two_males,Plant_04,M200,silent,virgin,0,0,0,5,NA,1,1,0.2,F172,2,4,0.8,1.414213562,1,0
1_4_21_1,two_males,Plant_02,M050,call,virgin,1,1,0.25,4,4,0,0,0,F021,2,2.414213562,0.603553391,2.236067977,0,0
1_4_21_1,two_males,Plant_02,M052,silent,virgin,0,0,0,4,NA,0,0,0,F021,2,2.414213562,0.603553391,2.236067977,0,0
1_5_21_1,two_males,Plant_02,M097,call,virgin,0,10,1,10,NA,2,2.414213562,0.241421356,F061,1,1,0.1,5.099019514,4.123105626,3.16227766
1_5_21_1,two_males,Plant_02,M099,silent,virgin,1,0,0,10,10,2,2,0.2,F061,1,1,0.1,1,4.123105626,3.16227766
11_11_21_1,two_males,Plant_04,M248,call,virgin,1,2,0.333333333,6,6,0,0,0,F190,1,5.099019514,0.849836586,5.099019514,0,0
11_11_21_1,two_males,Plant_04,M244,silent,virgin,0,0,0,6,NA,0,0,0,F190,1,5.099019514,0.849836586,5.099019514,0,0
11_5_21_1,two_males,Plant_02,M106,call,virgin,1,2,0.4,5,5,2,2,0.4,F067,3,3,0.6,2,2.236067977,2.236067977
11_5_21_1,two_males,Plant_02,M103,silent,virgin,0,0,0,5,NA,0,0,0,F067,3,3,0.6,2.236067977,2.236067977,2.236067977
12_11_21_1,two_males,Plant_04,M226,call,virgin,1,5,0.416666667,12,12,2,2,0.166666667,F191,5,6.65028154,0.554190128,4,1.414213562,0
12_11_21_1,two_males,Plant_04,M229,silent,virgin,0,0,0,12,NA,2,2,0.166666667,F191,5,6.65028154,0.554190128,3.16227766,1.414213562,0
15_4_21_1,two_males,Plant_02,M063,call,virgin,0,3,0.5,6,NA,0,0,0,F040,2,2,0.333333333,3,1,2.236067977
15_4_21_1,two_males,Plant_02,M068,silent,virgin,1,0,0,6,NA,2,2,0.333333333,F040,2,2,0.333333333,2,1,2.236067977
15_5_21_1,two_males,Plant_02,M108,call,virgin,0,7,1,7,NA,0,0,0,F073,2,2.414213562,0.344887652,2.236067977,1.414213562,1.414213562
15_5_21_1,two_males,Plant_02,M107,silent,virgin,1,0,0,7,7,2,2,0.285714286,F073,2,2.414213562,0.344887652,2.236067977,1.414213562,1.414213562
16_4_21_1,two_males,Plant_02,M072,call,virgin,1,1,0.25,4,4,0,0,0,F042,2,2,0.5,1.414213562,1.414213562,1.414213562
