exp_ids,treatment,plant_id,maleid,tactic,female_mating_status,mated,femaleid
1_11_21_3,two_males,Plant_04,M196,call,virgin,0,F172
1_11_21_3,two_males,Plant_04,M200,silent,virgin,0,F172
1_4_21_1,two_males,Plant_02,M050,call,virgin,1,F021
1_4_21_1,two_males,Plant_02,M052,silent,virgin,0,F021
1_5_21_1,two_males,Plant_02,M097,call,virgin,0,F061
1_5_21_1,two_males,Plant_02,M099,silent,virgin,1,F061
11_11_21_1,two_males,Plant_04,M248,call,virgin,1,F190
11_11_21_1,two_males,Plant_04,M244,silent,virgin,0,F190
11_5_21_1,two_males,Plant_02,M106,call,virgin,1,F067
11_5_21_1,two_males,Plant_02,M103,silent,virgin,0,F067
12_11_21_1,two_males,Plant_04,M226,call,virgin,1,F191
12_11_21_1,two_males,Plant_04,M229,silent,virgin,0,F191
15_4_21_1,two_males,Plant_02,M063,call,virgin,0,F040
15_4_21_1,two_males,Plant_02,M068,silent,virgin,1,F040
15_5_21_1,two_males,Plant_02,M108,call,virgin,0,F073
15_5_21_1,two_males,Plant_02,M107,silent,virgin,1,F073
16_4_21_1,two_males,Plant_02,M072,call,virgin,1,F042
16_4_21_1,two_males,Plant_02,M067,silent,virgin,0,F042
16_4_21_2,two_males,Plant_02,M070,call,virgin,0,F043
16_4_21_2,two_males,Plant_02,M071,silent,virgin,1,F043
17_3_21_1,two_males,Plant_02,M020,call,virgin,1,F013
17_3_21_1,two_males,Plant_02,M019,silent,virgin,0,F013
17_4_21_1,two_males,Plant_02,M067,call,virgin,1,F044
17_4_21_1,two_males,Plant_02,M070,silent,virgin,0,F044
19_3_21_2,two_males,Plant_02,M017,call,virgin,1,F017
19_3_21_2,two_males,Plant_02,M021,silent,virgin,0,F017
19_3_21_3,two_males,Plant_02,M026,call,virgin,1,F014
19_3_21_3,two_males,Plant_02,M028,silent,virgin,0,F014
19_4_21_1,two_males,Plant_02,M070,call,virgin,0,F045
19_4_21_1,two_males,Plant_02,M074,silent,virgin,1,F045
19_4_21_3,two_males,Plant_02,M079,call,virgin,0,F048
19_4_21_3,two_males,Plant_02,M080,silent,virgin,1,F048
2_11_21_1,two_males,Plant_04,M226,call,virgin,0,F154
2_11_21_1,two_males,Plant_04,M182,silent,virgin,0,F154
2_11_21_2,two_males,Plant_04,M225,call,virgin,0,F171
2_11_21_2,two_males,Plant_04,M185,silent,virgin,1,F171
2_11_21_3,two_males,Plant_04,M219,call,virgin,0,F176
2_11_21_3,two_males,Plant_04,M181,silent,virgin,0,F176
20_3_21_1,two_males,Plant_02,M023,call,virgin,1,F019
20_3_21_1,two_males,Plant_02,M025,silent,virgin,0,F019
26_10_21_1,two_males,Plant_04,M212,call,virgin,0,F152
26_10_21_1,two_males,Plant_04,M171,silent,virgin,1,F152
26_10_21_2,two_males,Plant_04,M169,call,virgin,1,F150
