exp_ids,maleid,tactic,FemaleID,mated
1,M172,baffling,F52,1
1,M179,silent,F52,0
2,M199,baffling,F53,1
2,M181,silent,F53,0
3,M190,baffling,F47,0
3,M203,silent,F47,1
4,M189,baffling,F58,0
4,M180,silent,F58,0
5,M159,baffling,F54,0
5,M194,silent,F54,0
6,M204,baffling,F48,0
6,M197,silent,F48,1
7,M211,baffling,F43,1
7,M200,silent,F43,0
8,M209,baffling,F41,1
8,M213,silent,F41,0
9,M247,baffling,F40,1
9,M213,silent,F40,0
10,M164,baffling,F39,1
10,M215,silent,F39,0
11,M225,baffling,F30,0
11,M220,silent,F30,1
12,M227,baffling,F37,0
12,M255,silent,F37,0
13,M242,baffling,F61,1
13,M217,silent,F61,0
14,M233,baffling,F38,1
14,M243,silent,F38,0
15,M162,baffling,F36,1
15,M166,silent,F36,0
16,M207,baffling,F34,1
16,M208,silent,F34,0
17,M240,baffling,F26,0
17,M182,silent,F26,0
18,M247,baffling,F63,0
18,M248,silent,F63,1
19,M259,baffling,F23,0
19,M189,silent,F23,1
20,M255,baffling,F62,1
20,M239,silent,F62,0
21,M238,baffling,F44,0
21,M186,silent,F44,1
22,M245,baffling,F64,0
22,M193,silent,F64,1
23,M229,baffling,F68,0
23,M191,silent,F68,0
24,M212,baffling,F66,0
24,M202,silent,F66,1
25,M210,baffling,F65,0
25,M214,silent,F65,1
26,M227,baffling,F67,1
26,M216,silent,F67,0
27,M222,baffling,F69,1
27,M249,silent,F69,0
28,M253,baffling,F71,0
28,M252,silent,F71,1
29,M232,baffling,F72,1
29,M241,silent,F72,0
30,M258,baffling,F73,0
30,M228,silent,F73,1
31,M295,baffling,F74,0
31,M226,silent,F74,0
32,M280,baffling,F55,0
32,M265,silent,F55,1
33,M244,baffling,F76,1
33,M221,silent,F76,0
34,M269,baffling,F77,1
34,M250,silent,F77,0
35,M270,baffling,F78,0
35,M235,silent,F78,1
36,M224,baffling,F79,1
36,M259,silent,F79,0
