Trial_ID,Male1_ID,Tactic_Male1,Perceived_SPL_Male1_dB,DistanceFromFemale_Male1_cm,Male2_ID,Tactic_Male2,Perceived_SPL_Male2_dB,DistanceFromFemale_Male2_cm,Female_ID,Female_AcousticChoice,Decision_Latency_min,Female_MateChoice,Difference_PerceivedSPL_dB,Difference_Distance_cm
1,M101,Baffling,66.9,35,M79,Calling,57,30,F26,NONE,,NONE,9.9,5
2,M102,Baffling,66.9,35,M84,Calling,57,30,F27,Male1,2,Male1,9.9,5
3,M144,Baffling,64.5,40,M64,Calling,55,55,F28,Male1,1,Male1,9.5,-15
4,M32,Baffling,60.2,35,M68,Calling,55,55,F29,Male1,15,Male1,5.2,-20
5,M120,Baffling,66,35,M36,Calling,57.8,30,F24,Male1,6,Male1,8.2,5
6,M44,Baffling,63.5,25,M135,Calling,56.8,35,F30,Male1,5,Male1,6.7,-10
7,M52,Baffling,66,25,M90,Calling,58.8,35,F35,Male1,15,Male1,7.2,-10
8,M69,Baffling,64,25,M121,Calling,58.1,35,F32,NONE,,NONE,5.9,-10
9,M45,Baffling,64,25,M132,Calling,58.1,35,F22,NONE,,NONE,5.9,-10
10,M54,Baffling,64,25,M126,Calling,58.1,35,F25,Male1,25,Male1,5.9,-10
11,M138,Baffling,66,35,M147,Calling,60,,F38,Male1,14,Male1,6,35
12,M149,Baffling,60.1,35,M135,Calling,54.7,40,F45,Male1,14,Male1,5.4,-5
13,M145,Baffling,62.3,40,M137,Calling,54.7,40,F46,NONE,,NONE,7.6,0
14,M205,Baffling,61.2,40,M176,Calling,54.5,30,F46,Male1,10,Male1,6.7,10
15,M172,Baffling,64.5,35,M163,Calling,57,30,F49,Male1,8,NONE,7.5,5
16,M173,Baffling,59.6,70,M198,Calling,56,35,F50,Male1,16,Male1,3.6,35
17,M174,Baffling,59,80,M192,Calling,53.6,30,F51,Male2,8,NONE,5.4,50
18,M187,Baffling,64.3,45,M167,Calling,59.6,35,F56,Male1,3,Male1,4.7,10
19,M159,Baffling,64.5,50,M194,Calling,52.7,30,F59,Male1,2,Male1,11.8,20
20,M204,Baffling,64.2,50,M196,Calling,58,20,F60,Male2,3,NONE,6.2,30
21,M218,Baffling,65.5,25,M254,Calling,54.8,40,F42,Male1,1,Male1,10.7,-15
22,M237,Baffling,64.8,35,M255,Calling,54.1,40,F31,Male1,7,Male1,10.7,-5
23,M209,Baffling,61.2,60,M247,Calling,54.6,50,F33,Male1,5,Male1,6.6,10
24,M165,Baffling,64.5,60,M188,Calling,56.2,50,F34,Male1,4,Male1,8.3,10
25,M227,Baffling,59.5,30,M204,Calling,61.5,30,F37,Male1,13,Male1,2,0
26,M281,Baffling,56.8,40,M288,Calling,54.5,35,F80,Male1,16,Male1,2.3,5
