Male_ID,Tactic,Body_Length_mm
M101,Baffling,9.7
M102,Baffling,12.26
M120,Baffling,12.98
M138,Baffling,13.5
M144,Baffling,12.58
M145,Baffling,12.79
M149,Baffling,13.07
M159,Baffling,12.97
M165,Baffling,11.67
M172,Baffling,12.91
M175,Baffling,11.19
M176,Baffling,12.48
M187,Baffling,12.83
M189,Baffling,12.85
M190,Baffling,12.3
M204,Baffling,12.91
M205,Baffling,12.84
M209,Baffling,12.32
M218,Baffling,12.94
M227,Baffling,13.06
M237,Baffling,12.01
M280,Baffling,11.95
M32,Baffling,12.16
M44,Baffling,11.23
M45,Baffling,11.13
M52,Baffling,11.59
M54,Baffling,11.45
M69,Baffling,13.48
M32,Non-Baffling,12.16
M52,Non-Baffling,11.59
M124,Non-Baffling,13.06
M189,Non-Baffling,12.85
M195,Non-Baffling,12.48
M90,Non-Baffling,12.72
M90,Non-Baffling,12.72
M165,Non-Baffling,11.65
